sale_row_id,invoice_id,transaction_date,transaction_time,branch,city,customer_type,gender,product_category,product_name,unit_price,quantity,discount_percent,tax_rate,cost_per_unit,payment_method,customer_rating
1,INV-1001,2026-01-03,09:15,"Branch A",Cairo,Member,Male,"Food and Beverages","Orange Juice",45.00,2,5.00,14.00,30.00,Cash,8.50
2,INV-1002,2026-01-03,10:30,"Branch A",Cairo,Normal,Female,"Health and Beauty",Shampoo,120.00,1,0.00,14.00,80.00,"Credit Card",7.80
3,INV-1003,2026-01-04,13:45,"Branch B",Giza,Member,Female,Electronics,"Wireless Mouse",350.00,2,10.00,14.00,250.00,"Mobile Wallet",9.10
4,INV-1004,2026-01-04,15:10,"Branch C",Alexandria,Normal,Male,"Sports and Travel","Sports Bag",450.00,1,5.00,14.00,300.00,"Debit Card",7.20
5,INV-1005,2026-01-05,18:30,"Branch A",Cairo,Member,Female,"Fashion Accessories",Handbag,700.00,1,15.00,14.00,500.00,"Credit Card",8.90
6,INV-1006,2026-01-05,20:15,"Branch B",Giza,Normal,Male,"Home and Lifestyle","Table Lamp",250.00,3,0.00,14.00,170.00,Cash,6.90
7,INV-1007,2026-01-06,08:50,"Branch C",Alexandria,Member,Male,"Food and Beverages",Coffee,95.00,2,5.00,14.00,65.00,"Mobile Wallet",8.10
8,INV-1008,2026-01-06,12:20,"Branch A",Cairo,Normal,Female,"Health and Beauty","Body Lotion",180.00,2,10.00,14.00,120.00,Cash,7.50
9,INV-1009,2026-01-07,16:45,"Branch B",Giza,Member,Male,Electronics,"USB Flash Drive",280.00,4,5.00,14.00,190.00,"Credit Card",9.00
10,INV-1010,2026-01-07,21:10,"Branch C",Alexandria,Normal,Female,"Fashion Accessories",Sunglasses,300.00,2,0.00,14.00,210.00,"Debit Card",7.40
11,INV-1011,2026-01-08,11:05,"Branch A",Cairo,Member,Female,"Home and Lifestyle",Bedsheet,550.00,1,10.00,14.00,390.00,"Mobile Wallet",8.70
12,INV-1012,2026-01-08,14:25,"Branch B",Giza,Normal,Male,"Sports and Travel",Football,320.00,2,0.00,14.00,220.00,Cash,7.10
13,INV-1013,2026-01-09,17:40,"Branch C",Alexandria,Member,Female,"Food and Beverages",Chocolate,55.00,5,5.00,14.00,35.00,"Credit Card",9.20
14,INV-1014,2026-01-09,19:30,"Branch A",Cairo,Normal,Male,"Health and Beauty","Face Wash",160.00,2,10.00,14.00,105.00,"Mobile Wallet",6.80
15,INV-1015,2026-01-10,09:40,"Branch B",Giza,Member,Female,Electronics,"Bluetooth Speaker",950.00,1,5.00,14.00,720.00,"Debit Card",8.60
16,INV-1016,2026-01-10,13:15,"Branch C",Alexandria,Normal,Male,"Home and Lifestyle","Wall Clock",400.00,2,0.00,14.00,280.00,Cash,7.00
17,INV-1017,2026-01-11,16:00,"Branch A",Cairo,Member,Male,"Sports and Travel","Running Shoes",1200.00,1,10.00,14.00,850.00,"Credit Card",9.40
18,INV-1018,2026-01-11,20:40,"Branch B",Giza,Normal,Female,"Fashion Accessories","Wrist Watch",850.00,1,5.00,14.00,620.00,"Mobile Wallet",8.00
19,INV-1019,2026-01-12,10:10,"Branch C",Alexandria,Member,Female,"Food and Beverages","Green Tea",75.00,3,0.00,14.00,48.00,Cash,8.30
20,INV-1020,2026-01-12,15:30,"Branch A",Cairo,Normal,Male,"Health and Beauty",Deodorant,140.00,2,5.00,14.00,95.00,"Debit Card",7.60
21,INV-1021,NULL,12:30,"Branch B",Giza,Member,Female,Electronics,Keyboard,650.00,1,5.00,14.00,480.00,"Credit Card",8.80
22,INV-1022,2026-01-14,NULL,"Branch C",Alexandria,Normal,Male,"Home and Lifestyle",Curtains,800.00,2,10.00,14.00,570.00,Cash,7.30
23,INV-1023,2026-01-14,18:20,NULL,Cairo,Member,Male,"Sports and Travel","Yoga Mat",420.00,1,0.00,14.00,300.00,"Mobile Wallet",8.50
24,INV-1024,2026-01-15,19:45,"Branch B",NULL,Normal,Female,"Fashion Accessories",Scarf,220.00,3,5.00,14.00,145.00,Cash,7.90
25,INV-1025,2026-01-15,11:30,"Branch C",Alexandria,NULL,Female,"Food and Beverages",Milk,42.00,4,0.00,14.00,30.00,"Debit Card",8.00
26,INV-1026,2026-01-16,14:40,"Branch A",Cairo,Member,NULL,"Health and Beauty","Hair Oil",210.00,2,10.00,14.00,145.00,"Credit Card",8.40
